"callerPrefix","calleePrefix"
"actions","harness"
"actions","practices"
"actions","installation"
"actions","harness/hooks"
"actions","harness/agent_tools"
"actions","harness/knowledge_graph"
"actions","harness/mcp"
"actions","practices/stories"
"actions","practices/clean_engineering/model"
"actions","practices/clean_engineering"
"actions","practices/ux/model/drawio"
"actions","practices/ux"
"actions","practices/clean_engineering/model/drawio"
"actions","practices/agent_bdd"
"actions","practices/ux/model/markdown"
"actions","builders/create_context_tool"
"actions","tools/workflow"
"actions","builders/create_agent_toolset"
"actions","practices/ddd"
"actions","tools/prompt_echo"
"actions","tools/diagnose"
"actions","practices/ux/model/html"
"actions","practices/ux/model/json"
"actions","tools/plan"
"tools","actions"
"tools","harness"
"tools","practices"
"tools","installation"
"tools","harness/hooks"
"tools","actions/sketch"
"tools","harness/agent_tools"
"tools","harness/markdown"
"tools","harness/knowledge_graph"
"tools","harness/mcp"
"tools","practices/stories"
"tools","practices/clean_engineering/model"
"tools","practices/clean_engineering"
"tools","tools/git"
"tools","actions/partition"
"tools","practices/ux/model"
"tools","practices/ux"
"tools","tools/catalog_generator"
"tools","practices/clean_engineering/model/drawio"
"tools","practices/agent_bdd"
"tools","builders/create_context_tool"
"tools","tools/workflow"
"tools","practices/bdd"
"tools","builders/create_agent_toolset"
"tools","practices/ddd"
"tools","tools/prompt_echo"
"tools","tools/diagnose"
"tools","tools/handoff"
"tools","tools/record_decisions"
"tools","tools/plan"
"harness","actions"
"harness","tools"
"harness","practices"
"harness","installation"
"harness","harness/hooks"
"harness","actions/sketch"
"harness","harness/agent_tools"
"harness","harness/markdown"
"harness","harness/knowledge_graph"
"harness","harness/mcp"
"harness","practices/stories"
"harness","practices/clean_engineering/model"
"harness","practices/clean_engineering"
"harness","tools/git"
"harness","actions/partition"
"harness","practices/ux/model/drawio"
"harness","practices/ux/model"
"harness","practices/ux"
"harness","tools/catalog_generator"
"harness","practices/clean_engineering/model/drawio"
"harness","practices/agent_bdd"
"harness","practices/ux/model/markdown"
"harness","builders/create_context_tool"
"harness","tools/workflow"
"harness","practices/bdd"
"harness","builders/create_agent_toolset"
"harness","practices/ddd"
"harness","tools/prompt_echo"
"harness","tools/handoff"
"harness","practices/ux/model/html"
"harness","practices/ux/model/json"
"harness","tools/plan"
"practices","actions"
"practices","tools"
"practices","harness"
"practices","installation"
"practices","harness/hooks"
"practices","actions/sketch"
"practices","harness/agent_tools"
"practices","harness/markdown"
"practices","harness/knowledge_graph"
"practices","harness/mcp"
"practices","practices/stories"
"practices","practices/clean_engineering/model"
"practices","practices/clean_engineering"
"practices","tools/git"
"practices","actions/partition"
"practices","practices/ux/model"
"practices","practices/ux"
"practices","tools/catalog_generator"
"practices","practices/clean_engineering/model/drawio"
"practices","practices/agent_bdd"
"practices","builders/create_context_tool"
"practices","tools/workflow"
"practices","practices/bdd"
"practices","builders/create_agent_toolset"
"practices","practices/ddd"
"practices","tools/prompt_echo"
"practices","tools/handoff"
"practices","tools/plan"
"installation","actions"
"installation","tools"
"installation","harness"
"installation","practices"
"installation","harness/hooks"
"installation","actions/sketch"
"installation","harness/agent_tools"
"installation","harness/markdown"
"installation","harness/knowledge_graph"
"installation","harness/mcp"
"installation","practices/stories"
"installation","practices/clean_engineering/model"
"installation","practices/clean_engineering"
"installation","tools/git"
"installation","actions/partition"
"installation","practices/ux/model/drawio"
"installation","practices/ux/model"
"installation","practices/ux"
"installation","tools/catalog_generator"
"installation","practices/clean_engineering/model/drawio"
"installation","practices/agent_bdd"
"installation","practices/ux/model/markdown"
"installation","builders/create_context_tool"
"installation","tools/workflow"
"installation","practices/bdd"
"installation","builders/create_agent_toolset"
"installation","practices/ddd"
"installation","tools/prompt_echo"
"installation","tools/diagnose"
"installation","tools/handoff"
"installation","practices/ux/model/html"
"installation","practices/ux/model/json"
"installation","tools/plan"
"actions/grill_context","actions"
"actions/grill_context","tools"
"actions/grill_context","harness"
"actions/grill_context","practices"
"actions/grill_context","actions/sketch"
"actions/grill_context","harness/agent_tools"
"actions/grill_context","practices/clean_engineering/model"
"actions/grill_context","practices/clean_engineering"
"actions/grill_context","practices/ux/model"
"actions/grill_context","practices/agent_bdd"
"actions/grill_context","actions/iterate"
"actions/grill_context","tools/prompt_echo"
"harness/hooks","actions"
"harness/hooks","tools"
"harness/hooks","harness"
"harness/hooks","practices"
"harness/hooks","installation"
"harness/hooks","actions/sketch"
"harness/hooks","harness/agent_tools"
"harness/hooks","harness/markdown"
"harness/hooks","harness/knowledge_graph"
"harness/hooks","harness/mcp"
"harness/hooks","practices/stories"
"harness/hooks","practices/clean_engineering/model"
"harness/hooks","practices/clean_engineering"
"harness/hooks","tools/git"
"harness/hooks","actions/partition"
"harness/hooks","practices/ux/model"
"harness/hooks","practices/ux"
"harness/hooks","tools/catalog_generator"
"harness/hooks","practices/clean_engineering/model/drawio"
"harness/hooks","practices/agent_bdd"
"harness/hooks","builders/create_context_tool"
"harness/hooks","tools/workflow"
"harness/hooks","practices/bdd"
